Age Range,Gender,Level of Education,Approximate Annual Income Range in Euros (€),Residence,Approximate Distance to the Nearest Gym,1st Important Factor,2nd Important Factor,3rd Important Factor,4th Important Factor,5th Important Factor,Frequency of Workouts at Home,"Equipments Owned
",Main Challenges,Solutions Found,Transitioning to a Gym,Factors That Influenced transitioning to a gym,Seeked Supports
18-24,Male,Bachelor's degree,"Under €20,000",Urban,2-5 miles (≈ 3.2-8 km),Variety in workout options,Convenience,Space availability,Cost-effectiveness,Goal tracking features,3-5 times per week,"Dumbbells, Resistance bands, Yoga/Fitness mat, Stationary bike, Bodyweight exercises only, Parallettes","Lack of motivation, Limited space, Difficulty in staying consistent, Lack of proper guidance or training programs, Boredom with home workouts",Watching workout videos or tutorials,Yes,"Proximity to gym location, Access to a wider range of exercise equipment, Social interaction with others at the gym, Desire for a change in workout environment, Ability to set specific fitness goals, Inspiration from friends or family, Desire for a structured workout routine, Access to specialized workout programs (e.g., CrossFit, yoga, etc.)","Personalized workout plans or coaching services, Home workout challenges with incentives or prizes, Virtual workout buddies or accountability partners"
18-24,Male,Bachelor's degree,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Convenience,Cost-effectiveness,Time flexibility,Space availability,Variety in workout options,Daily,Parallettes,Lack of motivation,Using fitness apps or programs,Yes,"Proximity to gym location, Access to a wider range of exercise equipment, Desire for in-person fitness classes, Availability of personal trainers or fitness coaches",Access to virtual fitness classes or live streaming workouts
18-24,Female,Bachelor's degree,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Convenience,Time flexibility,Fitness App Integrated workout programs,Variety in workout options,Space availability,1-2 times per week,"Yoga/Fitness mat, Stationary bike","Lack of motivation, Difficulty in staying consistent, Boredom with home workouts",Watching workout videos or tutorials,Yes,"Proximity to gym location, Access to a wider range of exercise equipment, Desire for a change in workout environment, Inspiration from friends or family","Access to virtual fitness classes or live streaming workouts, Mobile apps with workout tracking and reminders"
18-24,Female,Bachelor's degree,"€40,001 - €60,000",Urban,Less than 1 mile (≈ 1.6 km),Goal tracking features,Space availability,Time flexibility,Cost-effectiveness,Convenience,3-5 times per week,Yoga/Fitness mat,"Lack of motivation, Difficulty in staying consistent, Boredom with home workouts",Watching workout videos or tutorials,No,,Personalized workout plans or coaching services
18-24,Female,Bachelor's degree,"Under €20,000",Urban,2-5 miles (≈ 3.2-8 km),Convenience,Cost-effectiveness,Cost-effectiveness,Cost-effectiveness,Cost-effectiveness,Rarely,Yoga/Fitness mat,"Lack of motivation, Limited space, Lack of proper guidance or training programs","None, I don't actively seek solutions",Yes,"Proximity to gym location, Desire for in-person fitness classes",Access to a local fitness trainer for virtual sessions
18-24,Female,Bachelor's degree,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Time flexibility,Convenience,Privacy,Cost-effectiveness,Customization of Workouts,1-2 times per week,"Yoga/Fitness mat, Stationary bike","Limited space, Difficulty in staying consistent, Lack of proper guidance or training programs",Using fitness apps or programs,No,,"Access to virtual fitness classes or live streaming workouts, Personalized workout plans or coaching services, Mobile apps with workout tracking and reminders, Equipment rental or loan services for home workouts, Support groups or mental health resources for staying motivated, Access to home workout equipment reviews and recommendations"
18-24,Female,Bachelor's degree,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Convenience,Cost-effectiveness,Privacy,Customization of Workouts,Time flexibility,Rarely,"Bodyweight exercises only, None",Limited space,Watching workout videos or tutorials,No,,Mobile apps with workout tracking and reminders
18-24,Female,High School or below,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Convenience,Privacy,Customization of Workouts,Time flexibility,Cost-effectiveness,Rarely,"Dumbbells, Resistance bands, Yoga/Fitness mat","Lack of motivation, Difficulty in staying consistent",Watching workout videos or tutorials,Yes,"Access to a wider range of exercise equipment, Availability of personal trainers or fitness coaches, Desire for a structured workout routine, Recommendations from healthcare professionals","Mobile apps with workout tracking and reminders, Home workout challenges with incentives or prizes, Nutrition guidance or meal planning resources"
18-24,Female,High School or below,"Under €20,000",Rural,5-10 miles (≈ 8-16 km),Variety in workout options,Access to professional guidance,Goal tracking features,Fitness App Integrated workout programs,Customization of Workouts,1-2 times per week,"Dumbbells, Yoga/Fitness mat, Stationary bike, rowing machine","Lack of motivation, Difficulty in staying consistent, Lack of proper guidance or training programs",Watching workout videos or tutorials,Yes,"Access to a wider range of exercise equipment, Availability of personal trainers or fitness coaches, Desire for a structured workout routine","Online workout communities or forums for peer support, Access to virtual fitness classes or live streaming workouts, Personalized workout plans or coaching services, Home workout challenges with incentives or prizes, Virtual workout buddies or accountability partners, Nutrition guidance or meal planning resources"
18-24,Female,High School or below,"€80,001 - €100,000",Urban,Less than 1 mile (≈ 1.6 km),Fitness App Integrated workout programs,Access to professional guidance,Customization of Workouts,Cost-effectiveness,Convenience,1-2 times per week,"Resistance bands, Yoga/Fitness mat, Treadmill",Lack of proper guidance or training programs,Watching workout videos or tutorials,Yes,"Desire for in-person fitness classes, Social interaction with others at the gym, Ability to set specific fitness goals, Desire for a structured workout routine, Access to specialized workout programs (e.g., CrossFit, yoga, etc.)","Access to virtual fitness classes or live streaming workouts, Personalized workout plans or coaching services, Mobile apps with workout tracking and reminders, Subscription to a fitness app or platform with a variety of workouts, Home workout challenges with incentives or prizes, Virtual workout buddies or accountability partners, Nutrition guidance or meal planning resources, Access to home workout equipment reviews and recommendations"
18-24,Female,High School or below,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Time flexibility,Cost-effectiveness,Customization of Workouts,Access to professional guidance,Convenience,Rarely,Bodyweight exercises only,"Lack of motivation, Lack of proper guidance or training programs",Watching workout videos or tutorials,Yes,"Ability to set specific fitness goals, Desire for a structured workout routine, Access to specialized workout programs (e.g., CrossFit, yoga, etc.)","Personalized workout plans or coaching services, Virtual workout buddies or accountability partners"
18-24,Male,Bachelor's degree,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Variety in workout options,Space availability,Time flexibility,Customization of Workouts,Privacy,3-5 times per week,"Dumbbells, Resistance bands, Yoga/Fitness mat, Bodyweight exercises only, Benchpress",Physical limitations or injuries,"None, I don't actively seek solutions",Yes,"Proximity to gym location, Access to a wider range of exercise equipment","Access to virtual fitness classes or live streaming workouts, "
18-24,Female,Some college or vocational training,"Under €20,000",Urban,2-5 miles (≈ 3.2-8 km),Convenience,Customization of Workouts,Goal tracking features,Cost-effectiveness,Privacy,Rarely,"Yoga/Fitness mat, Plates ball","Lack of motivation, Limited space, Lack of proper guidance or training programs",Watching workout videos or tutorials,No,,"Personalized workout plans or coaching services, Virtual workout buddies or accountability partners, Access to home workout equipment reviews and recommendations"
18-24,Male,High School or below,"Under €20,000",Urban,Less than 1 mile (≈ 1.6 km),Cost-effectiveness,Customization of Workouts,Time flexibility,Cost-effectiveness,Privacy,3-5 times per week,"Dumbbells, Resistance bands, Yoga/Fitness mat, Treadmill","Limited space, Lack of proper guidance or training programs",Using fitness apps or programs,Yes,"Access to a wider range of exercise equipment, Availability of personal trainers or fitness coaches, Desire for a change in workout environment, Ability to set specific fitness goals, Peer pressure or influence from workout partners","Personalized workout plans or coaching services, Nutrition guidance or meal planning resources"
18-24,Female,Bachelor's degree,"Under €20,000",Urban,1-2 miles (≈ 1.6-3.2 km),Time flexibility,Cost-effectiveness,Convenience,Family commitments,Privacy,1-2 times per week,Yoga/Fitness mat,"Lack of motivation, Lack of proper guidance or training programs","None, I don't actively seek solutions",Yes,"Proximity to gym location, Availability of personal trainers or fitness coaches, Desire for a change in workout environment, Access to specialized workout programs (e.g., CrossFit, yoga, etc.)",Virtual workout buddies or accountability partners
18-24,Male,Bachelor's degree,"Under €20,000",Urban,1-2 miles (≈ 1.6-3.2 km),Goal tracking features,Variety in workout options,Cost-effectiveness,Convenience,Privacy,3-5 times per week,None,"Lack of motivation, Limited space, Boredom with home workouts","None, I don't actively seek solutions",No,,Equipment rental or loan services for home workouts
